"","Name","Position","Age","Season","Transfer_fee","League_to"
"1691","Boubacar Sanogo","Centre-Forward","26","2009-2010",5000000,"Ligue 1"
"1692","Erwin Hoffer","Centre-Forward","22","2009-2010",5000000,"Serie A"
"1693","Riccardo Meggiorini","Second Striker","23","2009-2010",5000000,"Serie A"
"1694","Andrea Pisanu","Right Midfield","28","2009-2010",5000000,"Serie A"
"1695","Rodrigo Palacio","Centre-Forward","27","2009-2010",4900000,"Serie A"
"1696","Pavel Pogrebnyak","Centre-Forward","25","2009-2010",4800000,"1.Bundesliga"
"1697","Zat Knight","Centre-Back","29","2009-2010",4700000,"Premier League"
"1698","Steven Fletcher","Centre-Forward","22","2009-2010",4700000,"Premier League"
"1699","Franco Zuculini","Central Midfield","18","2009-2010",4600000,"1.Bundesliga"
"1700","Alberto Zapater","Defensive Midfield","24","2009-2010",4500000,"Serie A"
"1701","Marco Marchionni","Right Midfield","29","2009-2010",4500000,"Serie A"
"1702","Kevin-Prince Boateng","Central Midfield","22","2009-2010",4500000,"Premier League"
"1703","Édgar Barreto","Central Midfield","24","2009-2010",4500000,"Serie A"
"1704","Reginaldo","Centre-Forward","25","2009-2010",4500000,"Serie A"
"1705","Nenê","Centre-Forward","25","2009-2010",4500000,"Serie A"
"1706","Maicosuel","Left Winger","23","2009-2010",4500000,"1.Bundesliga"
"1707","Mame Diouf","Centre-Forward","21","2009-2010",4500000,"Premier League"
"1708","Raúl Bobadilla","Centre-Forward","22","2009-2010",4200000,"1.Bundesliga"
"1709","Mats Hummels","Centre-Back","20","2009-2010",4200000,"1.Bundesliga"
"1710","Lucas Barrios","Centre-Forward","24","2009-2010",4200000,"1.Bundesliga"
"1711","Fraizer Campbell","Centre-Forward","21","2009-2010",4100000,"Premier League"
"1712","Álvaro Arbeloa","Right-Back","26","2009-2010",4000000,"LaLiga"
"1713","Pedro León","Right Winger","22","2009-2010",4000000,"LaLiga"
"1714","Damien Duff","Right Midfield","30","2009-2010",4000000,"Premier League"
"1715","Zé Roberto","Left Midfield","35","2009-2010",4000000,"1.Bundesliga"
"1716","Mathieu Coutadeur","Central Midfield","23","2009-2010",4000000,"Ligue 1"
"1717","Esteban Granero","Central Midfield","22","2009-2010",4000000,"LaLiga"
"1718","Pablo Barrientos","Right Winger","24","2009-2010",4000000,"Serie A"
"1719","Stephen Hunt","Left Midfield","28","2009-2010",4000000,"Premier League"
"1720","Michaël Ciani","Centre-Back","25","2009-2010",4000000,"Ligue 1"
"1721","Gabriel Obertan","Right Winger","20","2009-2010",4000000,"Premier League"
"1722","Brown Ideye","Centre-Forward","21","2009-2010",4000000,"Ligue 1"
"1723","Gaël Givet","Centre-Back","27","2009-2010",4000000,"Premier League"
"1724","Juan Forlín","Centre-Back","21","2009-2010",4000000,"LaLiga"
"1725","Leandro Caruso","Centre-Forward","27","2009-2010",4000000,"Serie A"
"1726","Pablo Fontanello","Centre-Back","24","2009-2010",4000000,"Serie A"
"1727","Scott Dann","Centre-Back","22","2009-2010",4000000,"Premier League"
"1728","Leonardo Bonucci","Centre-Back","22","2009-2010",4000000,"Serie A"
"1729","Eren Derdiyok","Centre-Forward","21","2009-2010",3800000,"1.Bundesliga"
"1730","Radoslav Kovac","Centre-Back","29","2009-2010",3800000,"Premier League"
"1731","Andrea Dossena","Left Midfield","28","2009-2010",3750000,"Serie A"
"1732","Asmir Begovic","Goalkeeper","22","2009-2010",3750000,"Premier League"
"1733","Emiliano Moretti","Centre-Back","28","2009-2010",3700000,"Serie A"
"1734","Thomas Kahlenberg","Central Midfield","26","2009-2010",3700000,"1.Bundesliga"
"1735","Mateja Kezman","Centre-Forward","30","2009-2010",3700000,"Ligue 1"
"1736","Juan Arango","Left Winger","29","2009-2010",3600000,"1.Bundesliga"
"1737","Antonio Mirante","Goalkeeper","26","2009-2010",3600000,"Serie A"
"1738","Hérita Ilunga","Left-Back","27","2009-2010",3500000,"Premier League"
"1739","Gelson Fernandes","Defensive Midfield","22","2009-2010",3500000,"Ligue 1"
"1740","Ivan Obradovic","Left-Back","21","2009-2010",3500000,"LaLiga"
"1741","Boško Jankovic","Right Winger","25","2009-2010",3500000,"Serie A"
"1742","Daniele Mannini","Right Midfield","25","2009-2010",3500000,"Serie A"
"1743","Marco Motta","Right-Back","23","2009-2010",3500000,"Serie A"
"1744","Paulo Machado","Central Midfield","23","2009-2010",3500000,"Ligue 1"
"1745","Dean Whitehead","Central Midfield","27","2009-2010",3500000,"Premier League"
"1746","Emiliano Viviano","Goalkeeper","23","2009-2010",3500000,"Serie A"
"1747","Alexander Tettey","Defensive Midfield","23","2009-2010",3500000,"Ligue 1"
"1748","Mario Bolatti","Defensive Midfield","24","2009-2010",3500000,"Serie A"
"1749","Seyi Olofinjana","Central Midfield","29","2009-2010",3500000,"Premier League"
"1750","Michele Paolucci","Centre-Forward","23","2009-2010",3500000,"Serie A"
"1751","Craig Gardner","Central Midfield","23","2009-2010",3500000,"Premier League"
"1752","Fabián Orellana","Right Winger","23","2009-2010",3500000,"Serie A"
"1753","Míchel","Central Midfield","24","2009-2010",3300000,"Premier League"
"1754","Michele Paolucci","Centre-Forward","23","2009-2010",3300000,"Serie A"
"1755","Fernando Torres","Centre-Forward","26","2010-2011",58500000,"Premier League"
"1756","Andy Carroll","Centre-Forward","22","2010-2011",41000000,"Premier League"
"1757","David Villa","Centre-Forward","28","2010-2011",40000000,"LaLiga"
"1758","Edin Dzeko","Centre-Forward","24","2010-2011",37000000,"Premier League"
"1759","Ángel Di María","Right Winger","22","2010-2011",33000000,"LaLiga"
"1760","Yaya Touré","Central Midfield","27","2010-2011",30000000,"Premier League"
"1761","Mario Balotelli","Centre-Forward","20","2010-2011",29500000,"Premier League"
"1762","David Silva","Attacking Midfield","24","2010-2011",28750000,"Premier League"
"1763","Luis Suárez","Centre-Forward","24","2010-2011",26500000,"Premier League"
"1764","David Luiz","Centre-Back","23","2010-2011",25000000,"Premier League"
"1765","Aleksandar Kolarov","Left-Back","24","2010-2011",23860000,"Premier League"
"1766","Yoann Gourcuff","Attacking Midfield","24","2010-2011",22000000,"Ligue 1"
"1767","James Milner","Central Midfield","24","2010-2011",22000000,"Premier League"
"1768","Ramires","Central Midfield","23","2010-2011",22000000,"Premier League"
"1769","Darren Bent","Centre-Forward","26","2010-2011",21500000,"Premier League"
"1770","Javier Mascherano","Defensive Midfield","26","2010-2011",20000000,"LaLiga"
"1771","Andrea Ranocchia","Centre-Back","22","2010-2011",18500000,"Serie A"
"1772","Mesut Özil","Attacking Midfield","21","2010-2011",18000000,"LaLiga"
"1773","Giampaolo Pazzini","Centre-Forward","26","2010-2011",18000000,"Serie A"
"1774","Robinho","Left Winger","26","2010-2011",18000000,"Serie A"
"1775","Luiz Gustavo","Defensive Midfield","23","2010-2011",17000000,"1.Bundesliga"
"1776","André-Pierre Gignac","Centre-Forward","24","2010-2011",16000000,"Ligue 1"
"1777","Asamoah Gyan","Centre-Forward","24","2010-2011",16000000,"Premier League"
"1778","Diego","Attacking Midfield","25","2010-2011",15500000,"1.Bundesliga"
"1779","Loïc Rémy","Centre-Forward","23","2010-2011",15500000,"Ligue 1"
"1780","Leonardo Bonucci","Centre-Back","23","2010-2011",15500000,"Serie A"
"1781","Milos Krasic","Central Midfield","25","2010-2011",15000000,"Serie A"
"1782","Sami Khedira","Central Midfield","23","2010-2011",14000000,"LaLiga"
"1783","Klaas-Jan Huntelaar","Centre-Forward","27","2010-2011",14000000,"1.Bundesliga"
"1784","Hernanes","Attacking Midfield","25","2010-2011",13500000,"Serie A"
"1785","Raúl Meireles","Central Midfield","27","2010-2011",13000000,"Premier League"
"1786","Jérôme Boateng","Centre-Back","21","2010-2011",12500000,"Premier League"
"1787","Laurent Koscielny","Centre-Back","24","2010-2011",12500000,"Premier League"
"1788","Simon Kjær","Centre-Back","21","2010-2011",12000000,"1.Bundesliga"
"1789","Filipe Luís","Left-Back","24","2010-2011",12000000,"LaLiga"
"1790","Jorge Martínez","Right Winger","27","2010-2011",12000000,"Serie A"
"1791","José Manuel Jurado","Attacking Midfield","24","2010-2011",11000000,"1.Bundesliga"
"1792","Rafael van der Vaart","Attacking Midfield","27","2010-2011",10500000,"Premier League"
"1793","Roberto Soldado","Centre-Forward","25","2010-2011",10000000,"LaLiga"
"1794","Sandro","Defensive Midfield","21","2010-2011",10000000,"Premier League"
"1795","Pedro León","Right Winger","23","2010-2011",10000000,"LaLiga"
"1796","Stephen Ireland","Attacking Midfield","24","2010-2011",9700000,"Premier League"
"1797","Kenwyne Jones","Centre-Forward","25","2010-2011",9700000,"Premier League"
"1798","Adriano","Left-Back","25","2010-2011",9500000,"LaLiga"
"1799","Miguel Veloso","Defensive Midfield","24","2010-2011",9000000,"Serie A"
"1800","Bebé","Left Winger","20","2010-2011",8800000,"Premier League"
"1801","Sergio Floccari","Centre-Forward","28","2010-2011",8500000,"Serie A"
"1802","Víctor Ruiz","Centre-Back","21","2010-2011",8500000,"Serie A"
"1803","Ricardo Carvalho","Centre-Back","32","2010-2011",8000000,"LaLiga"
"1804","Rafinha","Right-Back","24","2010-2011",8000000,"Serie A"
"1805","Diego Godín","Centre-Back","24","2010-2011",8000000,"LaLiga"
"1806","Nicolás Burdisso","Centre-Back","29","2010-2011",8000000,"Serie A"
"1807","Chris Smalling","Centre-Back","20","2010-2011",8000000,"Premier League"
"1808","Heiko Westermann","Centre-Back","26","2010-2011",7500000,"1.Bundesliga"
"1809","Wesley","Central Midfield","23","2010-2011",7500000,"1.Bundesliga"
"1810","Chicharito","Centre-Forward","22","2010-2011",7500000,"Premier League"
"1811","Steven Fletcher","Centre-Forward","23","2010-2011",7200000,"Premier League"
"1812","Yossi Benayoun","Right Winger","30","2010-2011",7000000,"Premier League"
"1813","Stéphane Sessègnon","Attacking Midfield","26","2010-2011",7000000,"Premier League"
"1814","Nikola Zigic","Centre-Forward","29","2010-2011",7000000,"Premier League"
"1815","Dieumerci Mbokani","Centre-Forward","24","2010-2011",7000000,"Ligue 1"
"1816","Jonathan Biabiany","Right Winger","22","2010-2011",7000000,"Serie A"
"1817","Mario Mandzukic","Left Winger","24","2010-2011",7000000,"1.Bundesliga"
"1818","Elias","Central Midfield","25","2010-2011",7000000,"LaLiga"
"1819","Ryan Babel","Left Winger","24","2010-2011",7000000,"1.Bundesliga"
"1820","Blerim Dzemaili","Central Midfield","24","2010-2011",7000000,"Serie A"
"1821","Luca Antonelli","Left-Back","23","2010-2011",7000000,"Serie A"
"1822","Ben Foster","Goalkeeper","27","2010-2011",7000000,"Premier League"
"1823","Andrea Rispoli","Right-Back","21","2010-2011",7000000,"Serie A"
"1824","Sébastien Squillaci","Centre-Back","30","2010-2011",6500000,"Premier League"
"1825","Tino Costa","Central Midfield","25","2010-2011",6500000,"LaLiga"
"1826","Víctor Montaño","Centre-Forward","26","2010-2011",6500000,"Ligue 1"
"1827","Mattia Destro","Centre-Forward","19","2010-2011",6500000,"Serie A"
"1828","Felipe","Centre-Back","25","2010-2011",6300000,"Serie A"
"1829","Jean II Makoun","Defensive Midfield","27","2010-2011",6200000,"Premier League"
"1830","Marko Arnautovic","Left Winger","21","2010-2011",6200000,"1.Bundesliga"
"1831","Jimmy Briand","Centre-Forward","24","2010-2011",6000000,"Ligue 1"
"1832","Mousa Dembélé","Central Midfield","23","2010-2011",6000000,"Premier League"
"1833","Raffaele Palladino","Left Winger","26","2010-2011",6000000,"Serie A"
"1834","Hatem Ben Arfa","Attacking Midfield","23","2010-2011",6000000,"Premier League"
"1835","César Azpilicueta","Right-Back","20","2010-2011",6000000,"Ligue 1"
"1836","Abdoulay Konko","Right-Back","26","2010-2011",6000000,"Serie A"
"1837","Sergio Canales","Attacking Midfield","19","2010-2011",6000000,"LaLiga"
"1838","Tomas Kalas","Centre-Back","17","2010-2011",6000000,"Premier League"
"1839","Kevin-Prince Boateng","Central Midfield","23","2010-2011",5700000,"Serie A"
"1840","Gojko Kacar","Defensive Midfield","23","2010-2011",5500000,"1.Bundesliga"
"1841","Mehmet Topal","Defensive Midfield","24","2010-2011",5500000,"LaLiga"
"1842","Tiberio Guarente","Central Midfield","24","2010-2011",5500000,"LaLiga"
"1843","Christian Poulsen","Defensive Midfield","30","2010-2011",5480000,"Premier League"
"1844","Gylfi Sigurdsson","Attacking Midfield","20","2010-2011",5200000,"1.Bundesliga"
"1845","Nicola Pozzi","Centre-Forward","24","2010-2011",5200000,"Serie A"
"1846","Mauricio Pinilla","Centre-Forward","26","2010-2011",5100000,"Serie A"
"1847","Nenê","Attacking Midfield","29","2010-2011",5000000,"Ligue 1"
"1848","Patrick Helmes","Centre-Forward","26","2010-2011",5000000,"1.Bundesliga"
"1849","Alexis","Centre-Back","25","2010-2011",5000000,"LaLiga"
"1850","Razak Boukari","Right Winger","23","2010-2011",5000000,"Ligue 1"
"1851","Anders Lindegaard","Goalkeeper","26","2010-2011",5000000,"Premier League"
"1852","Chico","Centre-Back","23","2010-2011",5000000,"Serie A"
"1853","Ezequiel Muñoz","Centre-Back","19","2010-2011",5000000,"Serie A"
"1854","Pablo González","Centre-Forward","25","2010-2011",5000000,"Serie A"
"1855","Pablo Barrera","Right Winger","23","2010-2011",4800000,"Premier League"
"1856","Jean Beausejour","Left-Back","26","2010-2011",4800000,"Premier League"
"1857","Robert Lewandowski","Centre-Forward","21","2010-2011",4750000,"1.Bundesliga"
"1858","Daniel Osvaldo","Centre-Forward","24","2010-2011",4600000,"LaLiga"
"1859","Gaetano D'Agostino","Central Midfield","28","2010-2011",4500000,"Serie A"
"1860","Barreto","Second Striker","24","2010-2011",4500000,"Serie A"
"1861","Eduardo","Goalkeeper","27","2010-2011",4500000,"Serie A"
"1862","Tuncay Sanli","Left Winger","29","2010-2011",4500000,"1.Bundesliga"
"1863","Fahid Ben Khalfallah","Right Winger","27","2010-2011",4500000,"Ligue 1"
"1864","Sokratis","Centre-Back","22","2010-2011",4500000,"Serie A"
"1865","Marco Storari","Goalkeeper","33","2010-2011",4500000,"Serie A"
"1866","Massimo Maccarone","Centre-Forward","30","2010-2011",4400000,"Serie A"
"1867","Alberto Paloschi","Centre-Forward","21","2010-2011",4350000,"Serie A"
"1868","Aritz Aduriz","Centre-Forward","29","2010-2011",4300000,"LaLiga"
"1869","Cheik Tioté","Defensive Midfield","24","2010-2011",4280000,"Premier League"
"1870","Juanfran","Right-Back","25","2010-2011",4250000,"LaLiga"
"1871","Jonathan Biabiany","Right Winger","22","2010-2011",4200000,"Serie A"
"1872","Éder","Second Striker","23","2010-2011",4200000,"Serie A"
"1873","Winston Reid","Centre-Back","22","2010-2011",4200000,"Premier League"
"1874","Federico Rodríguez","Centre-Forward","19","2010-2011",4200000,"Serie A"
"1875","Rod Fanni","Right-Back","29","2010-2011",4000000,"Ligue 1"
"1876","Onyekachi Apam","Centre-Back","23","2010-2011",4000000,"Ligue 1"
"1877","Igor de Camargo","Centre-Forward","27","2010-2011",4000000,"1.Bundesliga"
"1878","Curtis Davies","Centre-Back","25","2010-2011",4000000,"Premier League"
"1879","Paul Konchesky","Left-Back","29","2010-2011",4000000,"Premier League"
"1880","Ronnie Stam","Right-Back","26","2010-2011",4000000,"Premier League"
"1881","Mauro Formica","Attacking Midfield","22","2010-2011",4000000,"Premier League"
"1882","Alessio Cerci","Right Winger","23","2010-2011",4000000,"Serie A"
"1883","Juraj Kucka","Central Midfield","23","2010-2011",4000000,"Serie A"
"1884","Sebastian Rudy","Defensive Midfield","20","2010-2011",4000000,"1.Bundesliga"
"1885","Dídac Vilà","Left-Back","21","2010-2011",4000000,"Serie A"
"1886","Wellington Silva","Right Winger","18","2010-2011",4000000,"Premier League"
"1887","Roberto Firmino","Second Striker","19","2010-2011",4000000,"1.Bundesliga"
"1888","Cristian Molinaro","Left-Back","26","2010-2011",3900000,"1.Bundesliga"
"1889","Lorenzo Ariaudo","Centre-Back","21","2010-2011",3800000,"Serie A"
"1890","Mauro Boselli","Centre-Forward","25","2010-2011",3700000,"Premier League"
"1891","Steven Pienaar","Left Winger","28","2010-2011",3600000,"Premier League"
"1892","Stephen Hunt","Left Midfield","28","2010-2011",3600000,"Premier League"
"1893","Sebastián Fernández","Second Striker","25","2010-2011",3600000,"LaLiga"
"1894","Marc Wilson","Centre-Back","23","2010-2011",3600000,"Premier League"
"1895","Nelson Valdez","Centre-Forward","26","2010-2011",3500000,"LaLiga"
"1896","Georg Niedermeier","Centre-Back","24","2010-2011",3500000,"1.Bundesliga"
"1897","Anthony Modeste","Centre-Forward","22","2010-2011",3500000,"Ligue 1"
"1898","Neto","Goalkeeper","21","2010-2011",3500000,"Serie A"
"1899","José Salomón Rondón","Centre-Forward","20","2010-2011",3500000,"LaLiga"
"1900","Gastón Ramírez","Attacking Midfield","19","2010-2011",3360000,"Serie A"
"1901","Jonathan Walters","Right Winger","26","2010-2011",3300000,"Premier League"
"1902","Jelle Van Damme","Left-Back","26","2010-2011",3250000,"Premier League"
"1903","Giuseppe Sculli","Left Winger","29","2010-2011",3000000,"Serie A"
"1904","Ibrahim Afellay","Left Midfield","24","2010-2011",3000000,"LaLiga"
"1905","Peter Odemwingie","Right Winger","29","2010-2011",3000000,"Premier League"
"1906","Javier Pastore","Attacking Midfield","22","2011-2012",42000000,"Ligue 1"
"1907","Sergio Agüero","Centre-Forward","23","2011-2012",40000000,"Premier League"
"1908","Falcao","Centre-Forward","25","2011-2012",40000000,"LaLiga"
"1909","Cesc Fàbregas","Central Midfield","24","2011-2012",34000000,"LaLiga"
"1910","Manuel Neuer","Goalkeeper","25","2011-2012",30000000,"1.Bundesliga"
"1911","Fábio Coentrão","Left-Back","23","2011-2012",30000000,"LaLiga"
"1912","Samir Nasri","Left Winger","24","2011-2012",27500000,"Premier League"
"1913","Juan Mata","Attacking Midfield","23","2011-2012",26700000,"Premier League"
"1914","Alexis Sánchez","Left Winger","22","2011-2012",26000000,"LaLiga"
"1915","David de Gea","Goalkeeper","20","2011-2012",25000000,"Premier League"
"1916","Zlatan Ibrahimovic","Centre-Forward","29","2011-2012",24000000,"Serie A"
"1917","Santi Cazorla","Central Midfield","26","2011-2012",23000000,"LaLiga"
"1918","Stewart Downing","Left Midfield","26","2011-2012",22800000,"Premier League"
"1919","Phil Jones","Centre-Back","19","2011-2012",19300000,"Premier League"
"1920","Ashley Young","Left Midfield","25","2011-2012",18000000,"Premier League"
"1921","Gökhan Inler","Defensive Midfield","27","2011-2012",18000000,"Serie A"
"1922","Jordan Henderson","Central Midfield","21","2011-2012",18000000,"Premier League"
"1923","Érik Lamela","Right Winger","19","2011-2012",17000000,"Serie A"
"1924","Daniel Osvaldo","Centre-Forward","25","2011-2012",16000000,"Serie A"
"1925","Alessandro Matri","Centre-Forward","26","2011-2012",15500000,"Serie A"
"1926","Stephan El Shaarawy","Left Winger","18","2011-2012",15500000,"Serie A"
"1927","Mirko Vucinic","Second Striker","27","2011-2012",15000000,"Serie A"
"1928","Romelu Lukaku","Centre-Forward","18","2011-2012",15000000,"Premier League"
"1929","Alex Oxlade-Chamberlain","Right Midfield","17","2011-2012",13800000,"Premier League"
"1930","Raúl Meireles","Central Midfield","28","2011-2012",13500000,"Premier League"
"1931","Jérôme Boateng","Centre-Back","22","2011-2012",13500000,"1.Bundesliga"
"1932","Pizzi","Central Midfield","22","2011-2012",13500000,"LaLiga"
"1933","Eduardo Vargas","Centre-Forward","22","2011-2012",13500000,"Serie A"
"1934","Arda Turan","Left Winger","24","2011-2012",13000000,"LaLiga"
"1935","Arturo Vidal","Central Midfield","24","2011-2012",12500000,"Serie A"
"1936","Edinson Cavani","Centre-Forward","24","2011-2012",12000000,"Serie A"
"1937","Gervinho","Left Winger","24","2011-2012",12000000,"Premier League"
"1938","Mikel Arteta","Central Midfield","29","2011-2012",12000000,"Premier League"
"1939","Bojan Krkic","Second Striker","20","2011-2012",12000000,"Serie A"
"1940","Papiss Demba Cissé","Centre-Forward","26","2011-2012",12000000,"Premier League"
"1941","Bryan Ruíz","Left Midfield","26","2011-2012",12000000,"Premier League"
"1942","Stefan Savic","Centre-Back","20","2011-2012",12000000,"Premier League"
"1943","Thiago Motta","Defensive Midfield","29","2011-2012",11500000,"Ligue 1"
"1944","Per Mertesacker","Centre-Back","26","2011-2012",11300000,"Premier League"
"1945","Peter Crouch","Centre-Forward","30","2011-2012",11300000,"Premier League"
"1946","Jérémy Toulalan","Defensive Midfield","27","2011-2012",11000000,"LaLiga"
"1947","Kévin Gameiro","Centre-Forward","24","2011-2012",11000000,"Ligue 1"
"1948","Miralem Pjanic","Central Midfield","21","2011-2012",11000000,"Serie A"
"1949","Charles N'Zogbia","Right Winger","25","2011-2012",10800000,"Premier League"
"1950","Fabio Quagliarella","Centre-Forward","28","2011-2012",10500000,"Serie A"
"1951","Ricardo Álvarez","Attacking Midfield","23","2011-2012",10500000,"Serie A"
"1952","Nuri Sahin","Defensive Midfield","22","2011-2012",10000000,"LaLiga"
"1953","Marco Borriello","Centre-Forward","29","2011-2012",10000000,"Serie A"
"1954","Bernd Leno","Goalkeeper","19","2011-2012",10000000,"1.Bundesliga"
"1955","Raphaël Varane","Centre-Back","18","2011-2012",10000000,"LaLiga"
"1956","Stephan Lichtsteiner","Right-Back","27","2011-2012",9930000,"Serie A"
"1957","Wilson Palacios","Defensive Midfield","26","2011-2012",9000000,"Premier League"
"1958","Eljero Elia","Left Winger","24","2011-2012",9000000,"Serie A"
"1959","Christian Träsch","Defensive Midfield","23","2011-2012",9000000,"1.Bundesliga"
"1960","Cristián Zapata","Centre-Back","24","2011-2012",9000000,"LaLiga"
"1961","Dimitri Payet","Attacking Midfield","24","2011-2012",9000000,"Ligue 1"
"1962","Sébastien Frey","Goalkeeper","31","2011-2012",9000000,"Serie A"
"1963","Blerim Dzemaili","Central Midfield","25","2011-2012",9000000,"Serie A"
"1964","Connor Wickham","Centre-Forward","18","2011-2012",9000000,"Premier League"
"1965","Miguel Britos","Centre-Back","26","2011-2012",9000000,"Serie A"
"1966","Thibaut Courtois","Goalkeeper","19","2011-2012",8950000,"Premier League"
"1967","Roberto","Goalkeeper","25","2011-2012",8600000,"LaLiga"
"1968","André Schürrle","Left Winger","20","2011-2012",8500000,"1.Bundesliga"
"1969","Emiliano Viviano","Goalkeeper","26","2011-2012",8500000,"Serie A"
"1970","Ricardo Rodríguez","Left-Back","19","2011-2012",8500000,"1.Bundesliga"
"1971","Gary Cahill","Centre-Back","26","2011-2012",8400000,"Premier League"
"1972","Charlie Adam","Central Midfield","25","2011-2012",8400000,"Premier League"
"1973","Alberto Gilardino","Centre-Forward","29","2011-2012",8000000,"Serie A"
"1974","Jérémy Ménez","Second Striker","24","2011-2012",8000000,"Ligue 1"
"1975","Kevin De Bruyne","Attacking Midfield","20","2011-2012",8000000,"Premier League"
"1976","Víctor Ruiz","Centre-Back","22","2011-2012",8000000,"LaLiga"
"1977","Blaise Matuidi","Central Midfield","24","2011-2012",8000000,"Ligue 1"
"1978","José Enrique","Left-Back","25","2011-2012",8000000,"Premier League"
"1979","Sílvio","Right-Back","23","2011-2012",8000000,"LaLiga"
"1980","Mohamed Sissoko","Defensive Midfield","26","2011-2012",8000000,"Ligue 1"
"1981","Roger Johnson","Centre-Back","28","2011-2012",8000000,"Premier League"
"1982","Jonathan de Guzmán","Central Midfield","23","2011-2012",8000000,"LaLiga"
"1983","Nolan Roux","Centre-Forward","23","2011-2012",8000000,"Ligue 1"
"1984","Matías Silvestre","Centre-Back","26","2011-2012",8000000,"Serie A"
"1985","Sebastián Coates","Centre-Back","20","2011-2012",8000000,"Premier League"
"1986","Gaël Clichy","Left-Back","25","2011-2012",7750000,"Premier League"
"1987","Fabio Borini","Left Winger","20","2011-2012",7600000,"Serie A"
"1988","Kevin-Prince Boateng","Central Midfield","24","2011-2012",7500000,"Serie A"
"1989","Simone Pepe","Right Winger","27","2011-2012",7500000,"Serie A"
"1990","Pablo Piatti","Left Winger","22","2011-2012",7500000,"LaLiga"
"1991","Lucas Piazón","Left Winger","18","2011-2012",7500000,"Premier League"
"1992","Ander Herrera","Central Midfield","21","2011-2012",7500000,"LaLiga"
"1993","Maarten Stekelenburg","Goalkeeper","28","2011-2012",7330000,"Serie A"
"1994","Emanuele Giaccherini","Left Winger","26","2011-2012",7250000,"Serie A"
"1995","André Santos","Attacking Midfield","28","2011-2012",7000000,"Premier League"
"1996","Kévin Constant","Defensive Midfield","24","2011-2012",7000000,"Serie A"
"1997","Scott Dann","Centre-Back","24","2011-2012",6800000,"Premier League"
"1998","Mevlüt Erdinc","Centre-Forward","24","2011-2012",6600000,"Ligue 1"
"1999","Nikica Jelavic","Centre-Forward","26","2011-2012",6600000,"Premier League"
"2000","Craig Gardner","Central Midfield","24","2011-2012",6600000,"Premier League"
"2001","Ju-yeong Park","Centre-Forward","26","2011-2012",6500000,"Premier League"
"2002","Alexander Merkel","Central Midfield","19","2011-2012",6500000,"Serie A"
"2003","Scott Parker","Central Midfield","30","2011-2012",6200000,"Premier League"
"2004","Borja Valero","Central Midfield","26","2011-2012",6000000,"LaLiga"
"2005","Adil Rami","Centre-Back","25","2011-2012",6000000,"LaLiga"
"2006","Dani Parejo","Central Midfield","22","2011-2012",6000000,"LaLiga"
"2007","Nacho Monreal","Left-Back","25","2011-2012",6000000,"LaLiga"
"2008","Emmanuel Rivière","Centre-Forward","21","2011-2012",6000000,"Ligue 1"
"2009","Isco","Attacking Midfield","19","2011-2012",6000000,"LaLiga"
"2010","Djibril Cissé","Centre-Forward","29","2011-2012",5800000,"Serie A"
"2011","Bobby Zamora","Centre-Forward","31","2011-2012",5800000,"Premier League"
"2012","Giovanni Sio","Centre-Forward","22","2011-2012",5800000,"1.Bundesliga"
"2013","Davide Santon","Left-Back","20","2011-2012",5650000,"Premier League"
"2014","Rafinha","Right-Back","25","2011-2012",5500000,"1.Bundesliga"
"2015","Ilkay Gündogan","Central Midfield","20","2011-2012",5500000,"1.Bundesliga"
"2016","Ivan Perisic","Left Winger","22","2011-2012",5500000,"1.Bundesliga"
"2017","Maxi Moralez","Attacking Midfield","24","2011-2012",5300000,"Serie A"
"2018","Édgar Barreto","Central Midfield","27","2011-2012",5300000,"Serie A"
"2019","Federico Marchetti","Goalkeeper","28","2011-2012",5200000,"Serie A"
"2020","Shane Long","Centre-Forward","24","2011-2012",5100000,"Premier League"
"2021","Alex","Centre-Back","29","2011-2012",5000000,"Ligue 1"
"2022","Alou Diarra","Defensive Midfield","29","2011-2012",5000000,"Ligue 1"
"2023","Yohan Cabaye","Central Midfield","25","2011-2012",5000000,"Premier League"
"2024","Diego Forlán","Second Striker","32","2011-2012",5000000,"Serie A"
"2025","Mehmet Ekici","Attacking Midfield","21","2011-2012",5000000,"1.Bundesliga"
"2026","José Callejón","Right Winger","24","2011-2012",5000000,"LaLiga"
"2027","Djibril Cissé","Centre-Forward","30","2011-2012",5000000,"Premier League"
"2028","Ikechukwu Uche","Centre-Forward","27","2011-2012",5000000,"LaLiga"
"2029","Rúben Micael","Attacking Midfield","24","2011-2012",5000000,"LaLiga"
"2030","Gabriel Torje","Right Winger","21","2011-2012",5000000,"Serie A"
"2031","Jonathan","Right-Back","25","2011-2012",5000000,"Serie A"
"2032","Éder","Second Striker","24","2011-2012",5000000,"Serie A"
"2033","Simone Padoin","Central Midfield","27","2011-2012",5000000,"Serie A"
"2034","Alessandro Diamanti","Second Striker","28","2011-2012",4860000,"Serie A"
"2035","Nedum Onuoha","Centre-Back","25","2011-2012",4700000,"Premier League"
"2036","Jean Beausejour","Left-Back","27","2011-2012",4700000,"Premier League"
"2037","Oriol Romeu","Defensive Midfield","19","2011-2012",4600000,"Premier League"
"2038","Yuto Nagatomo","Left-Back","24","2011-2012",4500000,"Serie A"
"2039","Shaun Wright-Phillips","Right Winger","29","2011-2012",4500000,"Premier League"
